"","case","iteration","p_HP","HP","p_DD","DD","p_PS1","PS1","p_PS2","PS2","greg"
"1",1,1,0.912,0.974248681590356,0.776,0.975375829251735,0.922,0.88200970725422,0.952,0.548970227152594,0.868
"2",1,2,0.066,0.1070945057189,0.018,0.0922081947672133,0.77,0.48105287968417,0.726,0.83335861465528,0.788
"3",1,3,0.286,0.263749743241385,0.246,0.25766511524564,0.36,0.374812435859389,0.358,0.433059372628964,0.454
"4",1,4,0.516,0.669465652596671,0.126,0.676923632903458,0.756,0.759450351999923,0.8,0.306644995613369,0.97
"5",1,5,0.298,0.529600398156093,0.388,0.535274107394637,0.476,0.655587525762194,0.502,0.671950630207712,0.312
"6",1,6,0.244,0.287757249412488,0.368,0.283116324547173,0.21,0.349150884755947,0.184,0.176471668862894,0.248
"7",1,7,0.698,0.477304943017236,0.738,0.4815063354356,0.224,0.399853328980803,0.232,0.278693347325127,0.24
"8",1,8,0.526,0.445474583256002,0.622,0.448565072228996,0.224,0.526058512125708,0.256,0.467949922614341,0.308
"9",1,9,0.332,0.283067671072626,0.342,0.278148643425665,0.286,0.672132427107531,0.264,0.46843877593864,0.49
"10",1,10,0.722,0.841546753967558,0.424,0.847065616259861,0.954,0.911427727701221,0.954,0.908697368728075,0.924
"11",1,11,0.318,0.566134920072979,0.236,0.572575759632141,0.464,0.486052798653258,0.526,0.311340964338979,0.658
"12",1,12,0.492,0.697537299734722,0.57,0.704982743844876,0.994,0.980233630892005,0.986,0.88886308007598,0.846
"13",1,13,0.262,0.273087350368247,0.704,0.267569906203461,0.122,0.149370840582596,0.146,0.239313150653095,0.22
"14",1,14,0.592,0.773627596391074,0.824,0.780436710496916,0.548,0.896396543263974,0.53,0.659307962883123,0.47
"15",1,15,0.362,0.468019033070195,0.3,0.471913031671826,0.674,0.669910734866823,0.646,0.636305962112059,0.714
"16",1,16,0.13,0.204805159383043,0.494,0.195053165245253,0.056,0.221302554693258,0.046,0.175544024979711,0.076
"17",1,17,0.222,0.416349381084191,0.248,0.418283187876173,0.816,0.455396822865447,0.77,0.771247793978147,0.786
"18",1,18,0.674,0.368446634893361,0.042,0.368196182869015,0.402,0.765029194612899,0.37,0.538228928788985,0.358
"19",1,19,0.942,0.946424534052001,0.858,0.948671087869435,0.808,0.582111506255401,0.776,0.268589517619782,0.794
"20",1,20,0.154,0.444619630512856,0.402,0.447678061251656,0.504,0.0836632704212862,0.476,0.585839470555824,0.754
"21",1,21,0.52,0.589133711065837,0.584,0.595947515897941,0.384,0.562901029360591,0.38,0.542508934832576,0.552
"22",1,22,0.654,0.674137057920058,0.572,0.681601389518105,0.524,0.892632463283206,0.534,0.813018359408235,0.54
"23",1,23,0.726,0.262974235220946,0.588,0.256842214568004,0.0840000000000001,0.386197249226236,0.0860000000000001,0.253793218174953,0.0600000000000001
"24",1,24,0.92,0.582568318269724,0.96,0.589284287755973,0.264,0.289115810139816,0.302,0.475181751715069,0.27
"25",1,25,0.352,0.665041213706588,0.706,0.672490057391109,0.466,0.714619798373677,0.5,0.78267868885422,0.37
"26",1,26,0.634,0.446013166005441,0.172,0.44912379097726,0.732,0.410969652152206,0.668,0.838559496897997,0.572
"27",1,27,0.986,0.943663247798626,0.902,0.946015254301998,0.77,0.991204309313203,0.76,0.726383604675909,0.746
"28",1,28,1,0.992656216242632,1,0.992986509790242,0.882,0.987463905788336,0.926,0.847175770319936,0.822
"29",1,29,0.112,0.559273342587839,0.578,0.565586485351007,0.468,0.0896231493452184,0.514,0.521851748284435,0.448
