"","case","iteration","p_HP","HP","p_DD","DD","p_PS1","PS1","p_PS2","PS2"
"1",1,1,0.018,0.106603569366974,0.00600000000000001,0.100151720344978,0.97,0.808721040443781,0.956,0.710010513813708
"2",1,2,0.248,0.308346523159509,0.1,0.306905506690808,0.99,0.341056628819489,0.962,0.996892955784325
"3",1,3,0.91,0.951476700181726,0.894,0.952415044956002,0.914,0.919883101563662,0.95,0.930671961827034
"4",1,4,0.228,0.270893113560916,0.154,0.268492147141884,0.804,0.725486546658406,0.748,0.470401471298489
"5",1,5,0.028,0.0634135621821457,0.038,0.056766298621384,0.72,0.0259103423874213,0.738,0.0601430931753649
"6",1,6,0.568,0.867855427621202,0.57,0.870063731744695,0.882,0.482171319063361,0.868,0.725231837505869
"7",1,7,0.338,0.64960350308902,0.308,0.652954280905441,0.894,0.0420368581572383,0.924,0.0558372334505688
"8",1,8,0.952,0.89010778944394,0.988,0.892021722624956,0.878,0.127206842561145,0.77,0.648162319519555
"9",1,9,0.188,0.146032849154026,0.026,0.14034603769324,0.86,0.977338646534941,0.94,0.285221658860215
"10",1,10,0.438,0.680592702280326,0.372,0.683979151909069,0.828,0.48223346159059,0.772,0.60319777541413
"11",1,11,0.566,0.254272345587172,0.286,0.251429519991786,0.768,0.0174545766588839,0.754,0.631700472533506
"12",1,12,0.38,0.608783780002851,0.322,0.611984989336248,0.776,0.521427967955452,0.784,0.315647779796681
"13",1,13,0.702,0.572620785167561,0.546,0.575591401896816,0.756,0.637666729101384,0.794,0.633154037618914
"14",1,14,0.096,0.0546849659847229,0.242,0.0481604364638295,0.626,0.277420010909463,0.612,0.394848883951985
"15",1,15,0.158,0.018872310610973,0.038,0.0142727553666986,0.494,0.0333471060204877,0.492,0.0115093059422
"16",1,16,0.246,0.121694565461366,0.488,0.115495132108438,0.378,0.209146604424725,0.41,0.0980783289642984
"17",1,17,0.88,0.583543449291889,0.75,0.586593455670972,0.654,0.624341554889414,0.638,0.601531804956406
"18",1,18,0.99,0.97455684741995,0.974,0.97506703108686,0.908,0.0376259999022041,1,0.929536245729454
"19",1,19,0.19,0.0458939147628063,0.272,0.0395859605151504,0.47,0.0911704179125252,0.504,0.0733873062705381
"20",1,20,0.066,0.0267367830375987,0.022,0.021403024876573,0.954,0.0131803393597205,0.994,0.338513324176461
"21",1,21,0.562,0.893506230286961,0.512,0.895372401741307,0.992,0.611109652343234,0.986,0.807715857489481
"22",1,22,0.624,0.81167004531568,0.536,0.814478199813413,0.944,0.0253361754407201,0.964,0.213523427479245
"23",1,23,0.65,0.194585180591869,0.68,0.190127387598163,0.418,0.153872947096411,0.468,0.198111343057981
"24",1,24,0.162,0.215596601044094,0.056,0.211706296732983,0.93,0.302965584280207,0.962,0.340301052800434
"25",1,25,0.436,0.884941651162602,0.464,0.886926769201475,0.966,0.518203307320667,0.972,0.958330090194279
"26",1,26,0.228,0.286117600723025,0.168,0.284113610866453,0.82,0.617633570958702,0.898,0.559594930273334
"27",1,27,0.126,0.0854255811116997,0,0.0787513084382099,0.904,0.444266549897842,0.916,0.888793842723393
"28",1,28,0.43,0.0473406528342591,0.85,0.0409894861143147,0.376,0.14072022446462,0.34,0.0683832871530294
"29",1,29,0.532,0.292832966970506,0.956,0.291001283067082,0.432,0.104738673071386,0.444,0.269484598599084
"30",1,30,0.746,0.684320960858105,0.596,0.687707200093349,0.934,0.192296197966781,0.856,0.597642088659732
"31",1,31,0.298,0.155255591399413,0.324,0.149786666684653,0.718,0.0246159804391983,0.748,0.493614099343973
"32",1,32,0.978,0.690216193092376,0.848,0.693600133766975,0.672,0.521038329991715,0.614,0.242576252431664
"33",1,33,0.314,0.402959778287939,0.164,0.403623319141102,0.87,0.652160566615629,0.758,0.190620456835185
"34",1,34,0.274,0.163479625352798,0.014,0.158212831127001,0.838,0.762622867065654,0.856,0.499793467749735
"35",1,35,0.936,0.157172036066421,0.904,0.151749612418487,0.51,0.0692248501140388,0.478,0.0621958284119533
"36",1,36,0.768,0.602893075254422,0.826,0.606063019675265,0.676,0.0238775870867161,0.724,0.608969257457142
"37",1,37,0.292,0.456601944578371,0.332,0.458209971801624,0.83,0.291254851917856,0.856,0.580511664901225
"38",1,38,0.776,0.883362029799689,0.944,0.885368571149231,0.82,0.198186395566958,0.824,0.854422730112636
"39",1,39,0.21,0.0838424537081275,0.35,0.0771597288001644,0.66,0.0708091346309649,0.69,0.0587263793058425
"40",1,40,0.454,0.772203830790097,0.352,0.775308515456767,0.91,0.730044706399926,0.958,0.97505876928791
"41",1,41,0.21,0.46516374849683,0.406,0.466904491865918,0.798,0.284148429424801,0.714,0.688598139431789
"42",1,42,0.0680000000000001,0.409014926083657,0.0620000000000001,0.409794653793654,0.924,0.860392456432984,0.91,0.828429535367564
"43",1,43,0.238,0.32055527957391,0.308,0.319413805184734,0.648,0.0254625113259636,0.668,0.453757687249282
"44",1,44,0.5,0.736242631431761,0.508,0.739526284285633,0.904,0.730975200800264,0.922,0.131090701987451
"45",1,45,0.586,0.0180670258187846,0.824,0.0135601417836616,0.218,0.00824861397201437,0.308,0.015995378512024
"46",1,46,0.934,0.434623664801789,0.826,0.435868059978988,0.596,0.430806526638607,0.706,0.283089740742841
"47",1,47,0.334,0.224094794053999,0.302,0.2204355141033,0.622,0.324957155746838,0.6,0.295885088175936
"48",1,48,0.438,0.605371721363123,0.342,0.608555119466524,0.75,0.0524023805200683,0.776,0.774643806509068
"49",1,49,0.31,0.00954732038991454,0.342,0.00632776265293999,0.298,0.00506757927328216,0.294,0.00466168993909744
"50",1,50,0.408,0.794983471767514,0.596,0.797929690949733,0.824,0.0842783948933363,0.85,0.853880147713054
"51",1,51,0.732,0.846749754531283,0.668,0.84920762569571,0.846,0.0537872336507582,0.856,0.887976515578529
"52",1,52,0.794,0.119599864252285,0.536,0.11336180724119,0.42,0.00249870141265718,0.48,0.0501582205805011
"53",1,53,0.852,0.939374943600686,0.932,0.940524503419529,0.846,0.504979302337429,0.914,0.000591046038186827
"54",1,54,0.532,0.704378285018139,0.624,0.707746883992081,0.822,0.770535633348069,0.724,0.7248528854493
"55",1,55,0.594,0.59073720286073,0.538,0.59383488838714,0.788,0.572554883788348,0.806,0.718150199363157
"56",1,56,0.816,0.844870707767021,0.71,0.847349390542011,0.824,0.915094644410911,0.834,0.889548925111899
"57",1,57,0.006,0.0820582403202745,0.302,0.075367630097394,0.556,0.450244973348772,0.554,0.485223079965182
"58",1,58,0.856,0.983060956594417,0.832,0.983405051817814,0.918,0.193840009771442,0.922,0.980273104379475
"59",1,59,0.204,0.473688060605534,0.226,0.475555914059077,0.798,0.245924463919775,0.802,0.214683785793855
"60",1,60,0.828,0.929635342426217,0.672,0.930948208968631,0.874,0.819323022286587,0.99,0.675241714748029
"61",1,61,0.646,0.130513784808752,0.822,0.124487600539972,0.448,0.0315074191666214,0.374,0.127444290681084
"62",1,62,0.41,0.281485185200696,0.676,0.279361297682597,0.536,0.0115518280294804,0.568,0.22173244116253
"63",1,63,0.074,0.00537690008839831,0,0.00311756032187149,0.522,0.124205594837925,0.506,0.0693737896680682
"64",1,64,0.196,0.186242773904168,0.344,0.18156296988915,0.496,0.16515264716315,0.508,0.191488422407385
"65",1,65,0.746,0.484436182121496,0.87,0.486457121540037,0.586,0.308249633145017,0.652,0.485210822727211
"66",1,66,0.4,0.604517290084401,0.328,0.607696099433884,0.914,0.308475410085124,0.894,0.951222203837663
"67",1,67,0.952,0.601905338847745,0.768,0.605069801199733,0.682,0.27493924408274,0.63,0.343987511624213
"68",1,68,0.78,0.604472347981874,0.454,0.607650914545011,0.734,0.0495185943195204,0.726,0.254539789101312
"69",1,69,0.838,0.968373257467601,0.772,0.969001399784119,0.954,0.152969697243334,0.95,0.217862240327764
"70",1,70,0.69,0.759543792204216,0.458,0.762721467747906,0.906,0.934243465537254,0.854,0.771833454369842
"71",1,71,0.564,0.0736442973812298,0.968,0.0669423335119244,0.392,0.00134780882389307,0.372,0.0664435243440977
