"","n","sigma","delta","alpha","DD","PN","HP","PS1","PS1q","PS2","PS2q","PS3","PS3q","WF","LR"
"1",100,0.1,1.5,0,"  4.6","38.4","  4.1"," 7.1"," 7.2"," 4.6"," 6.1"," 3.8"," 3.8"," 3.6","51.5"
"2",100,0.1,1.5,0.2,"  5.2","33.4","  5.0"," 9.0"," 9.2"," 9.7"," 9.1"," 5.2"," 5.2"," 6.0","49.7"
"3",100,0.1,1.5,0.4," 10.3","34.4"," 10.0","11.9","13.3","15.2","13.6"," 9.7","10.6","11.6","52.5"
"4",100,0.1,1.5,0.6," 19.3","34.7"," 18.7","16.5","19.6","26.0","21.2","22.3","22.2","23.0","52.9"
"5",100,0.1,1,0,"  5.3","33.4","  5.1"," 7.5"," 6.7"," 6.2"," 7.5"," 4.6"," 4.7"," 5.1","52.3"
"6",100,0.1,1,0.2,"  7.4","35.8","  7.2","10.8","11.3","12.2","12.0"," 7.1"," 7.1"," 7.6","51.8"
"7",100,0.1,1,0.4," 18.0","33.9"," 17.6","17.4","22.8","26.9","20.4","19.2","19.1","21.2","49.6"
"8",100,0.1,1,0.6," 35.3","33.3"," 34.5","29.4","40.0","47.0","35.6","37.1","38.8","39.9","52.5"
"9",100,0.2,1.5,0,"  4.7","34.7","  4.2"," 6.4"," 6.6"," 4.4"," 4.5"," 3.6"," 3.3"," 5.3","48.9"
"10",100,0.2,1.5,0.2,"  9.7","35.5","  9.5","10.7","11.7","13.3","11.6"," 9.5"," 9.6","12.1","52.3"
"11",100,0.2,1.5,0.4," 28.0","33.6"," 27.2","24.1","23.9","29.7","27.7","29.1","29.2","32.4","47.5"
"12",100,0.2,1.5,0.6," 55.6","35.6"," 54.4","48.2","47.6","55.7","54.7","57.0","57.3","61.9","51.2"
"13",100,0.2,1,0,"  5.0","35.7","  4.6"," 6.1"," 8.5"," 6.0"," 7.5"," 4.1"," 3.9"," 4.0","50.0"
"14",100,0.2,1,0.2," 19.3","35.9"," 18.8","17.4","18.8","21.6","20.0","18.2","18.5","21.5","51.7"
"15",100,0.2,1,0.4," 58.0","36.2"," 56.7","48.1","49.2","58.2","54.4","60.2","60.8","62.3","53.4"
"16",100,0.2,1,0.6," 92.4","33.7"," 92.1","84.4","87.7","90.6","88.4","92.2","93.0","94.2","53.4"
"17",200,0.1,1.5,0,"  5.1","37.3","  4.8"," 7.9"," 7.8"," 5.2"," 7.2"," 3.7"," 4.1"," 3.9","43.2"
"18",200,0.1,1.5,0.2,"  6.3","33.0","  5.9"," 9.3","10.6"," 9.8"," 9.3"," 8.3"," 8.0"," 9.3","45.7"
"19",200,0.1,1.5,0.4," 15.9","34.6"," 15.7","16.3","18.5","22.0","16.8","18.5","18.1","18.4","47.4"
"20",200,0.1,1.5,0.6," 34.4","34.3"," 34.1","31.7","36.6","41.7","35.2","37.0","37.5","38.6","46.5"
"21",200,0.1,1,0,"  5.0","34.4","  4.9"," 7.2"," 8.2"," 7.0"," 7.9"," 3.8"," 3.7"," 3.9","47.6"
"22",200,0.1,1,0.2," 10.3","34.5","  9.9","13.3","17.2","17.8","13.8","11.4","12.0","12.7","47.9"
"23",200,0.1,1,0.4," 35.0","34.6"," 34.7","28.7","38.9","46.0","32.8","37.1","37.6","40.3","48.3"
"24",200,0.1,1,0.6," 70.0","32.4"," 69.7","58.6","69.9","77.7","64.8","70.1","71.3","73.3","47.0"
"25",200,0.2,1.5,0,"  4.2","35.7","  3.9"," 6.7"," 6.9"," 5.3"," 6.2"," 4.2"," 4.0"," 4.5","47.0"
"26",200,0.2,1.5,0.2," 14.3","33.5"," 14.1","13.5","15.4","17.5","15.7","15.4","15.5","16.8","48.3"
"27",200,0.2,1.5,0.4," 54.9","33.7"," 54.0","46.4","46.1","54.6","51.9","56.4","56.5","58.1","47.3"
"28",200,0.2,1.5,0.6," 91.1","36.8"," 91.1","83.0","82.6","88.0","86.3","91.3","91.7","92.7","49.8"
"29",200,0.2,1,0,"  3.8","35.7","  3.4"," 6.8"," 7.9"," 6.7"," 6.2"," 4.1"," 4.3"," 3.9","45.5"
"30",200,0.2,1,0.2," 33.3","31.8"," 32.3","26.2","29.2","33.4","29.8","35.8","36.7","38.0","48.7"
"31",200,0.2,1,0.4," 91.2","35.4"," 90.9","80.5","83.4","88.0","85.6","90.9","91.3","93.2","48.6"
"32",200,0.2,1,0.6,"100.0","35.8","100.0","99.5","99.5","99.8","99.8","99.9","99.9","99.9","46.2"
