n,sigma,delta,a,DD,PN,HP,PS1,PS1q,PS2,PS2q,PS3,WF,LR
100,0.1,1.5,0.0,5.9,8.3,5.6,5.2,4.9,5.4,6.0,4.3,5.8,6.2
,,,0.2,5.9,6.8,5.4,4.6,5.8,5.6,5.4,4.1,5.7,6.9
,,,0.4,9.6,9.1,9.2,8.8,8.8,11.6,10.6,6.4,9.6,8.6
,,,0.6,21.2,12.2,21.0,17.4,16.9,27.1,19.8,13.6,21.2,16.5
,,,0.0,4.6,9.5,4.5,4.9,4.6,5.9,3.8,4.0,4.7,5.4
,,,0.2,7.2,8.9,6.9,6.7,6.8,9.0,7.2,5.3,7.4,7.1
,,,0.4,21.1,1 1.0,21.1,16.1,18.9,28.6,21.2,14.0,21.2,14.6
,,,0.6,41.6,12.4,40.7,28.4,34.9,51.2,40.4,28.0,40.6,25.9
,0.2,1.5,0.0,5.7,5.9,5.5,4.9,3.9,5.3,4.9,3.2,5.0,5.1
,,,0.2,9.6,8.0,9.3,11.2,10.1,13.3,10.5,7.7,10.0,10.3
,,,0.4,31.5,1 1.5,30.9,33.7,27.5,41.6,31.1,19.8,31.3,24.8
,,,0.6,64.7,16.1,63.9,65.9,58.0,75.3,64.4,47.1,63.9,48.9
,,,0.0,6.0,8.1,5.8,4.1,5.1,4.6,5.9,4.7,6.2,5.8
,,,0.2,16.4,9.5,16.2,17.3,14.8,23.2,16.4,9.9,16.4,12.8
,,,0.4,63.3,15.8,62.9,59.0,55.1,73.3,62.6,44.4,62.7,46.1
,,,0.6,94.6,25.5,94.3,90.2,92.0,97.6,94.2,85.8,94.1,81.7
200,0.1,1.5,0.0,4.5,7.3,4.4,3.9,4.3,4.2,4.0,4.5,4.1,4.8
,,,0.2,9.0,8.4,8.9,8.1,8.9,9.9,9.0,8.4,9.6,8.6
,,,0.4,17.8,11.4,17.6,17.7,14.8,22.0,16.7,13.0,17.9,14.4
,,,0.6,39.6,12.4,39.4,36.6,33.4,48.1,38.8,28.5,38.9,28.0
,,1,0.0,4.8,7.2,4.7,3.2,4.5,4.3,4.5,4.7,5.1,5.5
,,,0.2,10.5,10.8,10.4,9.8,11.9,14.5,11.3,9.2,1 1.8,9.6
,,,0.4,36.1,14.6,356.0,29.4,31.4,46.2,36.0,27.2,35.7,23.9
,,,0.6,70.4,19.5,70.1,58.4,64.2,80.5,71.2,57.1,70.8,47.3
,0.2,1.5,0.0,4.4,8.3,4.3,4.5,4.5,4.7,4.7,4.5,4.5,5.0
,,,0.2,18.4,10.2,18.0,19.6,15.6,21.5,18.7,14.1,18.0,15.8
,,,0.4,57.4,14.7,57.1,61.2,50.0,67.8,57.1,45.7,56.7,47.4
,,,0.6,91.7,25.2,91.5,91.8,89.0,96.1,92.1,86.3,91.8,83.1
,,,0.0,4.4,8.3,4.4,3.2,4.3,4.4,4.2,5.5,4.7,4.2
,,,0.2,35.0,13.9,34.8,35.4,31.3,44.2,34.9,26.9,35.0,27.5
,,,0.4,92.2,26.6,92.0,92.1,87.2,96.4,91.7,85.7,91.8,81.1
,,,0.6,100.0,49.6,100.0,99.8,99.9,100.0,100.0,99.7,100.0,98.8
