"","n","alpha","psi","X","DD","PN","HP","PS1","PS1q","PS2","PS2q","PS3","WF","LR"
"1",100,1,0,500.5,"  4.4","34.9","  4.1"," 4.5"," 55.2"," 20.3","  4.9"," 2.0"," 4.3","0.0"
"2",100,1,0.1,1500.5," 13.0","37.1"," 11.9","11.3"," 66.4"," 31.3"," 15.2"," 2.9"," 7.0","0.0"
"3",100,1,0.2,2500.5," 41.8","34.0"," 41.0","34.3"," 84.0"," 57.9"," 44.1"," 3.0"," 6.4","0.0"
"4",100,1,0.3,3500.5," 81.4","39.1"," 80.7","75.3"," 97.1"," 88.4"," 87.2"," 2.7","10.0","0.0"
"5",100,0.75,0,4500.5,"  5.1","34.5","  4.7"," 3.0"," 17.6","  9.3","  4.4"," 4.5"," 4.7","0.0"
"6",100,0.75,0.1,5500.5," 12.3","33.8"," 11.7","12.0"," 29.4"," 19.4"," 14.2"," 5.4"," 5.7","0.0"
"7",100,0.75,0.2,6500.5," 44.6","39.4"," 43.5","37.0"," 59.1"," 50.7"," 47.3"," 8.0"," 8.7","0.0"
"8",100,0.75,0.3,7500.5," 90.8","39.8"," 90.3","86.0"," 93.0"," 93.1"," 91.9"," 8.8","11.8","0.0"
"9",100,0.5,0,8500.5,"  3.6","36.3","  3.4"," 2.7","  4.3","  3.8","  3.1"," 4.4"," 4.5","0.0"
"10",100,0.5,0.1,9500.5," 11.3","37.6"," 10.4"," 9.7"," 11.8"," 13.0"," 10.9"," 5.7"," 5.9","0.0"
"11",100,0.5,0.2,10500.5," 49.8","41.3"," 48.6","41.0"," 43.3"," 50.9"," 52.5"," 7.2"," 8.4","0.0"
"12",100,0.5,0.3,11500.5," 94.1","41.1"," 93.8","91.0"," 87.6"," 93.9"," 93.8","10.4","13.9","0.0"
"13",100,0.25,0,12500.5,"  4.1","35.7","  4.1"," 4.6","  4.6","  4.7","  3.9"," 4.7"," 4.6","0.0"
"14",100,0.25,0.1,13500.5," 13.7","33.4"," 13.0","11.4"," 10.6"," 13.4"," 13.7"," 4.8"," 5.7","0.0"
"15",100,0.25,0.2,14500.5," 49.6","39.2"," 48.2","41.3"," 38.0"," 49.5"," 49.3"," 8.2","10.1","0.0"
"16",100,0.25,0.3,15500.5," 93.8","41.8"," 93.7","90.9"," 87.2"," 93.9"," 93.4"," 8.9","12.5","0.0"
"17",200,1,0,16500.5,"  4.6","34.0","  4.3"," 3.5"," 89.0"," 38.7","  5.7"," 2.3"," 6.6","0.0"
"18",200,1,0.1,17500.5," 18.9","35.7"," 18.8","15.8"," 92.1"," 54.6"," 21.8"," 1.4"," 4.8","0.0"
"19",200,1,0.2,18500.5," 73.5","38.0"," 72.7","64.3"," 99.3"," 87.7"," 76.6"," 3.0"," 7.6","0.0"
"20",200,1,0.3,19500.5," 99.2","42.1"," 99.2","98.0","100.0"," 99.3"," 99.4"," 2.0"," 9.4","0.0"
"21",200,0.75,0,20500.5,"  6.0","35.6","  5.6"," 5.8"," 38.5"," 15.9","  5.5"," 4.0"," 5.1","0.0"
"22",200,0.75,0.1,21500.5," 23.7","37.4"," 23.4","18.8"," 55.9"," 34.0"," 23.5"," 5.3"," 6.8","0.0"
"23",200,0.75,0.2,22500.5," 80.3","38.3"," 79.9","73.3"," 90.4"," 86.8"," 82.0"," 7.0","10.5","0.0"
"24",200,0.75,0.3,23500.5," 99.8","41.8"," 99.8","99.9","100.0"," 99.9"," 99.9","10.1","18.3","0.0"
"25",200,0.5,0,24500.5,"  5.6","34.2","  5.3"," 4.8","  8.8","  6.6","  5.0"," 6.3"," 5.3","0.0"
"26",200,0.5,0.1,25500.5," 22.3","35.8"," 22.1","19.2"," 24.3"," 25.9"," 24.2"," 5.9"," 6.3","0.0"
"27",200,0.5,0.2,26500.5," 81.4","39.9"," 80.9","74.7"," 75.8"," 82.8"," 82.5"," 9.9","10.4","0.0"
"28",200,0.5,0.3,27500.5,"100.0","46.3"," 99.9","99.9"," 99.9"," 99.8","100.0","17.7","21.3","0.0"
"29",200,0.25,0,28500.5,"  4.3","36.7","  4.1"," 5.0","  5.8","  5.3","  4.4"," 5.7"," 5.5","0.0"
"30",200,0.25,0.1,29500.5," 20.8","38.8"," 20.7","17.2"," 17.5"," 20.9"," 21.0"," 7.7"," 8.3","0.0"
"31",200,0.25,0.2,30500.5," 80.8","39.3"," 80.4","73.8"," 70.1"," 81.0"," 80.1"," 8.4"," 9.2","0.0"
"32",200,0.25,0.3,31500.5,"100.0","49.9","100.0","99.8"," 99.8","100.0"," 99.9","14.8","19.0","0.0"
