"","n","methods","DD","PN","HP","PS1","PS1q","PS2","PS2q","PS3","WF","LR","CI"
"1",25,"grouping","100.0","40.0","100.0","100.0","100.0","100.0","100.0","99.4"," 99.8"," 3.8","86.4"
"2",25,"pps"," 99.2","23.9"," 99.0","100.0","100.0"," 99.9"," 98.8","67.0"," 98.9","15.4"," 5.0"
"3",25,"strata","  7.7","23.4","  7.4"," 11.3"," 17.4"," 13.9","  4.3"," 4.2","  3.8","38.9","57.3"
"4",50,"grouping","100.0","43.9","100.0","100.0","100.0","100.0","100.0","99.3"," 99.6"," 4.2","87.3"
"5",50,"pps","100.0","25.3","100.0","100.0","100.0","100.0","100.0","83.3","100.0"," 6.3","20.7"
"6",50,"strata","  7.4","20.7","  7.1"," 10.9"," 18.6"," 12.9","  4.1"," 3.9","  4.1","38.0","59.8"
"7",100,"grouping","100.0","43.7","100.0","100.0","100.0","100.0","100.0","98.3"," 99.7"," 4.7","88.5"
"8",100,"pps","100.0","23.5","100.0","100.0","100.0","100.0","100.0","96.5","100.0"," 1.9","50.1"
"9",100,"strata","  5.8","21.8","  5.5"," 11.1"," 18.5"," 14.1","  3.3"," 3.8","  3.7","39.5","60.4"
"10",500,"grouping","100.0","40.7","100.0","100.0","100.0","100.0","100.0","99.5"," 99.7"," 3.6","89.1"
"11",500,"pps","100.0","27.3","100.0","100.0","100.0","100.0","100.0","99.7","100.0"," 0.9","96.1"
"12",500,"strata","  7.2","19.6","  6.9"," 11.0"," 18.7"," 13.6","  4.6"," 4.0","  4.8","38.9","59.0"
"13",1000,"grouping","100.0","40.2","100.0","100.0","100.0","100.0","100.0","98.9"," 99.5"," 3.5","88.7"
"14",1000,"pps","100.0","31.1","100.0","100.0","100.0","100.0","100.0","99.8","100.0"," 0.9","99.4"
"15",1000,"strata","  7.1","20.7","  6.7"," 10.6"," 17.6"," 13.1","  3.2"," 3.9","  3.5","41.0","57.9"
