"X","methods","n","DD","HP","PS1","PS1q","PS2","PS2q","PS3","WF"
1,"grouping",50,29.5,28.7,38.7,99.8,31.5,14.1,2.3,8.6
2,"grouping",100,28.3,27.8,37.5,99.9,32.2,14.6,1.7,9.7
3,"grouping",250,28.6,27.7,38.2,99.9,33.5,16.2,1.7,8.5
4,"grouping",500,30.5,30,40.5,99.8,31.8,14.5,2.3,9.6
5,"grouping",1000,30.9,29.9,35.1,99.9,31.9,15.9,1.9,10.1
6,"pps",50,20,18.8,10.8,51.2,13.5,6.6,6.7,5.3
7,"pps",100,31.5,30.2,14,87.3,16.5,5.6,10.3,3.9
8,"pps",250,60.9,60.6,21.6,99.9,24,6.7,18.8,4.8
9,"pps",500,89,88.7,36.1,100,40.4,6.6,39.1,5.1
10,"pps",1000,99.1,99.1,58,100,61,6.4,64.6,6.8
11,"stratify",50,20.7,18.7,20.2,16.4,24,23,24,16.3
12,"stratify",100,38.6,37.4,36.4,32,39.5,38.4,35.9,27.8
13,"stratify",250,69,68.5,72.1,67.8,78.5,77.7,65,61.5
14,"stratify",500,95.4,95.4,97.7,96.3,98.2,98.1,89.9,89.7
15,"stratify",1000,100,100,100,100,100,100,99.8,99.8
16,"cluster",50,11.4,10.2,7,6.4,8.4,9,9.9,8.7
17,"cluster",100,14.1,13.7,11.1,9.3,11.5,12,15,12.2
18,"cluster",250,27.1,27,23.4,21.4,28,27.7,30.2,27.4
19,"cluster",500,42.2,42.1,40.8,38.1,43.4,42.3,44.1,41
20,"cluster",1000,59,59,59.7,56.2,61,60.3,57.5,55.1
21,"threestage",50,9.7,8.3,17.3,15.8,20.1,18.5,14.2,10.4
22,"threestage",100,15,14.5,28.7,30,36.4,35.6,25.1,19.3
23,"threestage",250,27,26.6,54,55,63.9,64,36.5,33.2
24,"threestage",500,55.8,55.7,90.1,90.7,94.6,94.2,62,62.6
25,"threestage",1000,85.8,85.7,99.7,99.9,100,100,87.5,91.7
