"distribution","n","alpha","DD","HP","PS1","PS2","PS3","pred_mean","coef_mahal"
"Gamma",50,0,0.059,0.057,0.088,0.074,0.03,0.044,0.053
"Gamma",50,0.2,0.124,0.116,0.114,0.176,0.105,0.121,0.065
"Gamma",50,0.4,0.608,0.591,0.495,0.586,0.501,0.526,0.373
"Gamma",50,0.6,0.932,0.929,0.846,0.91,0.859,0.845,0.69
"Gamma",100,0,0.046,0.043,0.066,0.061,0.031,0.035,0.042
"Gamma",100,0.2,0.265,0.261,0.215,0.286,0.288,0.277,0.173
"Gamma",100,0.4,0.905,0.903,0.795,0.873,0.907,0.865,0.721
"Gamma",100,0.6,0.999,0.999,0.997,0.999,0.998,0.994,0.984
"Normal",50,0,0.058,0.057,0.07,0.065,NA,0.041,0.049
"Normal",50,0.2,0.098,0.092,0.114,0.137,0.06,0.074,0.072
"Normal",50,0.4,0.297,0.288,0.258,0.334,0.186,0.227,0.164
"Normal",50,0.6,0.684,0.672,0.549,0.663,0.487,0.515,0.361
"Normal",100,0,0.053,0.05,0.075,0.065,0.026,0.028,0.047
"Normal",100,0.2,0.183,0.181,0.173,0.22,0.152,0.161,0.125
"Normal",100,0.4,0.626,0.624,0.524,0.619,0.522,0.524,0.401
"Normal",100,0.6,0.947,0.945,0.888,0.927,0.888,0.882,0.74
"Uniform",50,0,0.049,0.038,0.076,0.069,NA,0.038,0.045
"Uniform",50,0.2,0.099,0.094,0.129,0.147,0.062,0.072,0.086
"Uniform",50,0.4,0.345,0.328,0.28,0.353,0.242,0.253,0.193
"Uniform",50,0.6,0.681,0.669,0.549,0.659,0.55,0.495,0.364
"Uniform",100,0,0.042,0.041,0.071,0.055,0.028,0.026,0.034
"Uniform",100,0.2,0.191,0.188,0.178,0.228,0.153,0.158,0.122
"Uniform",100,0.4,0.627,0.624,0.527,0.621,0.567,0.552,0.42
"Uniform",100,0.6,0.951,0.948,0.891,0.946,0.926,0.893,0.792
"t",50,0,0.052,0.052,0.063,0.045,NA,0.042,0.042
"t",50,0.2,0.096,0.09,0.106,0.121,0.054,0.08,0.057
"t",50,0.4,0.325,0.311,0.294,0.337,0.182,0.244,0.177
"t",50,0.6,0.631,0.621,0.509,0.614,0.385,0.469,0.326
"t",100,0,0.063,0.062,0.072,0.056,0.026,0.044,0.046
"t",100,0.2,0.163,0.162,0.143,0.186,0.098,0.138,0.109
"t",100,0.4,0.609,0.608,0.484,0.579,0.433,0.496,0.381
"t",100,0.6,0.93,0.928,0.847,0.909,0.788,0.842,0.711
