"","case","iteration","pvalue","reject"
"1",1,1,0.588,0
"2",2,1,0.0880000000000001,0
"3",3,1,0.912,0
"4",4,1,0.932,0
"5",5,1,0.108,0
"6",6,1,0.836,0
"7",7,1,0.016,1
"8",8,1,0.02,1
"9",9,1,0.016,1
"10",10,1,0.74,0
"11",11,1,0.136,0
"12",12,1,0.884,0
"13",13,1,0.44,0
"14",14,1,0.192,0
"15",15,1,0.008,1
"16",16,1,0.088,0
"17",17,1,0.832,0
"18",18,1,0.412,0
"19",19,1,0.276,0
"20",20,1,0.208,0
"21",21,1,0.284,0
"22",22,1,0.048,1
"23",23,1,0.36,0
"24",24,1,0.728,0
"25",25,1,0.48,0
"26",26,1,0.736,0
"27",27,1,0,1
"28",28,1,0.508,0
"29",29,1,0,1
"30",30,1,0.404,0
"31",31,1,0,1
"32",32,1,0.912,0
