"","expr","time"
"1","UPmidzuno",93626902
"2","UPtille",1024686302
"3","UPmidzuno",83965501
"4","UPbrewer",31811201
"5","UPtille",919497700
"6","UPsampford_edited",234110901
"7","UPbrewer",26632601
"8","UPtille",1088190400
"9","UPsampford_edited",232104602
"10","UPsampford_edited",146814300
"11","UPtille",892423800
"12","UPmidzuno",71519601
"13","UPbrewer",29720402
"14","UPmidzuno",66445401
"15","UPbrewer",21783602
"16","UPtille",892241901
"17","UPmidzuno",76453801
"18","UPtille",898096700
"19","UPtille",899676601
"20","UPsampford_edited",244258501
"21","UPsampford_edited",225934802
"22","UPbrewer",41268101
"23","UPsampford_edited",217005502
"24","UPmidzuno",65786001
"25","UPmidzuno",86618201
"26","UPsampford_edited",388540301
"27","UPbrewer",20497601
"28","UPbrewer",33139001
"29","UPsampford_edited",244724501
"30","UPmidzuno",67222202
"31","UPbrewer",21229202
"32","UPbrewer",30267001
"33","UPbrewer",23595900
"34","UPsampford_edited",243593101
"35","UPsampford_edited",237656901
"36","UPbrewer",31289900
"37","UPmidzuno",67475901
"38","UPmidzuno",64938501
"39","UPmidzuno",61544500
"40","UPtille",1030671801
"41","UPsampford_edited",229728001
"42","UPtille",916402601
"43","UPtille",968891701
"44","UPbrewer",29344501
"45","UPmidzuno",67107401
"46","UPsampford_edited",65281001
"47","UPmidzuno",64557001
"48","UPtille",859458102
"49","UPtille",960790000
"50","UPmidzuno",69037601
"51","UPtille",779770500
"52","UPtille",786985601
"53","UPmidzuno",67071500
"54","UPtille",792388502
"55","UPtille",807324601
"56","UPsampford_edited",203166201
"57","UPtille",1021403301
"58","UPtille",791005801
"59","UPsampford_edited",201419401
"60","UPbrewer",20686401
"61","UPtille",810919301
"62","UPbrewer",17902800
"63","UPsampford_edited",208224301
"64","UPsampford_edited",213173401
"65","UPmidzuno",67281701
"66","UPmidzuno",60877801
"67","UPmidzuno",60539301
"68","UPbrewer",27201401
"69","UPsampford_edited",263133601
"70","UPsampford_edited",51485501
"71","UPtille",765627301
"72","UPtille",784711801
"73","UPtille",933534501
"74","UPmidzuno",61984901
"75","UPbrewer",20041601
"76","UPtille",809463100
"77","UPtille",785142402
"78","UPtille",762971501
"79","UPmidzuno",66111601
"80","UPmidzuno",61644201
"81","UPsampford_edited",219278101
"82","UPmidzuno",65088202
"83","UPsampford_edited",203796001
"84","UPbrewer",31070800
