"","n","sigma","delta","alpha","X","DD","PN","HP","PS1","PS1q","PS2","PS2q","PS3","WF","LR","CI"
"1",100,0.1,1,0,500.5," 4.9","16.1"," 4.6"," 63.5"," 68.7"," 14.9"," 4.6"," 5.4"," 5.0"," 0.1","78.7"
"2",100,0.1,1,0.2,1500.5," 8.1","15.5"," 7.4"," 97.9"," 98.8"," 20.1"," 7.7"," 8.0"," 9.2"," 1.2","71.8"
"3",100,0.1,1,0.4,2500.5,"17.7","16.5","16.9","100.0","100.0"," 36.1","16.6","18.8","20.3"," 4.9","71.8"
"4",100,0.1,1,0.6,3500.5,"40.0","16.0","39.2","100.0","100.0"," 62.1","39.4","42.1","44.6","11.6","68.5"
"5",100,0.1,1.5,0,4500.5," 5.3","18.1"," 5.1"," 34.5"," 43.5"," 15.9"," 5.4"," 5.3"," 4.5"," 0.8","79.2"
"6",100,0.1,1.5,0.2,5500.5," 5.6","17.5"," 4.9"," 77.2"," 81.8"," 16.5"," 5.7"," 5.3"," 5.6"," 2.9","76.7"
"7",100,0.1,1.5,0.4,6500.5,"10.2","16.7"," 9.3"," 97.4"," 98.4"," 25.5","10.7","11.5","12.0"," 8.9","73.0"
"8",100,0.1,1.5,0.6,7500.5,"21.6","17.0","20.8","100.0","100.0"," 40.2","20.5","21.3","22.0","13.5","72.9"
"9",100,0.2,1,0,8500.5," 5.0","16.1"," 4.9"," 62.4"," 68.2"," 13.0"," 5.3"," 5.8"," 6.1"," 0.0","77.8"
"10",100,0.2,1,0.2,9500.5,"20.1","18.5","19.4"," 99.4"," 99.6"," 38.5","20.4","21.8","23.5"," 1.2","73.4"
"11",100,0.2,1,0.4,10500.5,"62.6","17.5","61.3","100.0","100.0"," 80.0","63.3","62.4","64.0"," 6.8","72.1"
"12",100,0.2,1,0.6,11500.5,"94.7","18.0","94.4","100.0","100.0"," 98.4","94.3","94.0","94.6","16.4","73.5"
"13",100,0.2,1.5,0,12500.5," 3.9","18.0"," 3.7"," 34.5"," 43.1"," 14.4"," 4.2"," 4.5"," 4.4"," 1.2","78.8"
"14",100,0.2,1.5,0.2,13500.5," 9.5","18.0"," 9.4"," 77.3"," 81.1"," 25.0","10.1","10.8","11.5"," 2.5","75.5"
"15",100,0.2,1.5,0.4,14500.5,"30.5","18.4","30.0"," 99.1"," 99.3"," 52.8","31.2","32.0","35.0"," 7.4","72.4"
"16",100,0.2,1.5,0.6,15500.5,"64.6","17.5","63.6","100.0","100.0"," 83.2","65.4","64.9","66.4","14.4","72.0"
"17",200,0.1,1,0,16500.5," 4.5","18.5"," 4.4"," 91.5"," 93.9"," 13.9"," 4.2"," 4.4"," 4.2"," 0.1","84.9"
"18",200,0.1,1,0.2,17500.5,"11.9","18.2","11.5","100.0","100.0"," 25.3","12.7","11.9","12.2"," 4.5","80.2"
"19",200,0.1,1,0.4,18500.5,"36.1","16.3","35.4","100.0","100.0"," 56.8","36.9","38.4","39.0","10.6","81.8"
"20",200,0.1,1,0.6,19500.5,"73.0","17.7","72.3","100.0","100.0"," 87.9","73.0","73.4","74.6","22.8","78.1"
"21",200,0.1,1.5,0,20500.5," 5.0","18.1"," 4.9"," 55.2"," 63.8"," 13.8"," 5.4"," 4.1"," 4.3"," 2.5","83.3"
"22",200,0.1,1.5,0.2,21500.5," 8.6","15.0"," 8.4"," 97.7"," 98.4"," 21.2"," 8.3"," 9.5"," 9.3"," 7.8","83.1"
"23",200,0.1,1.5,0.4,22500.5,"19.2","18.0","18.5"," 99.9"," 99.9"," 35.2","18.3","20.3","20.7","14.5","80.8"
"24",200,0.1,1.5,0.6,23500.5,"39.9","15.6","39.1","100.0","100.0"," 59.0","40.1","40.6","41.8","21.8","78.9"
"25",200,0.2,1,0,24500.5," 4.9","17.7"," 4.7"," 90.3"," 92.7"," 16.8"," 5.7"," 4.0"," 4.9"," 0.4","84.2"
"26",200,0.2,1,0.2,25500.5,"35.4","19.0","34.9","100.0","100.0"," 57.6","34.8","38.1","38.2"," 5.6","83.3"
"27",200,0.2,1,0.4,26500.5,"93.0","16.8","92.8","100.0","100.0"," 98.1","94.1","93.2","93.6","13.6","79.9"
"28",200,0.2,1,0.6,27500.5,"99.8","17.9","99.8","100.0","100.0","100.0","99.8","99.9","99.9","26.8","82.2"
"29",200,0.2,1.5,0,28500.5," 5.6","16.9"," 5.4"," 59.6"," 66.3"," 14.3"," 4.7"," 4.7"," 5.1"," 3.9","85.0"
"30",200,0.2,1.5,0.2,29500.5,"16.3","17.3","16.1"," 97.6"," 98.0"," 32.5","17.1","18.6","18.8"," 8.5","83.2"
"31",200,0.2,1.5,0.4,30500.5,"57.2","17.9","57.1","100.0","100.0"," 76.4","57.7","59.7","61.0","17.2","82.6"
"32",200,0.2,1.5,0.6,31500.5,"90.0","17.1","89.8","100.0","100.0"," 96.9","89.9","90.9","91.4","25.6","80.5"
